id,temporada,kind,zx,zy,xt
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,4,0,0.0038
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,5,0,0.01087
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,5,2,0.0103
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,5,5,0.01211
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,6,2,0.00433
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,6,6,0.00587
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,7,0,0.02339
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,7,1,0.00426
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,7,3,0.0053
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,7,5,0.00794
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,7,7,0.00356
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,0,0.00579
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,1,0.0269
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,2,0.0111
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,3,-0.00935
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,4,0.10367
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,8,7,0.00338
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,9,1,-0.0034
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,9,2,0.00408
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,9,4,-0.00955
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,9,6,0.01988
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,9,7,-0.00614
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,10,2,-0.03354
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,10,6,0.06821
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,gen,11,1,-0.00637
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,0,1,0.01596
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,0,2,0.00479
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,1,0,0.00671
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,1,1,0.00715
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,1,2,0.02688
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,1,4,0.00439
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,0,0.00412
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,1,0.01284
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,2,0.01599
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,3,0.00397
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,4,0.0047
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,5,0.00776
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,2,6,0.00442
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,0,0.00523
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,1,0.01498
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,2,0.02421
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,3,0.00919
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,4,0.00875
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,3,5,0.00664
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,0,0.00471
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,1,0.02152
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,2,0.05398
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,3,0.01864
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,4,0.00591
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,5,0.00377
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,4,6,0.00398
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,5,1,0.01674
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,5,2,0.018
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,5,3,0.02414
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,5,4,0.01283
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,5,5,0.01399
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,6,0,0.00737
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,6,1,0.00533
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,6,2,0.00997
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,6,3,0.02195
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,6,4,0.03337
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,7,0,0.00526
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,7,2,0.00959
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,7,3,0.02809
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,8,0,0.07706
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,8,2,-0.00846
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,8,3,0.07186
bm5w5xsbbflm26pdhmejwgvs9,2025-2026,gen,9,5,-0.00765
al6dgtinz0ki8uj8wrvc7fg2c,2025-2026,gen,1,0,0.00394
al6dgtinz0ki8uj8wrvc7fg2c,2025-2026,gen,1,1,-0.00355
al6dgtinz0ki8uj8wrvc7fg2c,2025-2026,gen,1,2,0.00378
al6dgtinz0ki8uj8wrvc7fg2c,2025-2026,gen,2,0,0.01602
al6dgtinz0ki8uj8wrvc7fg2c,2025-2026,gen,2,1,0.00854
