id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots,xA,key_passes
bh5gxk1kd65fnph0s6kgxt8q2,2022-2023,Bundesliga,0.38,0.38,-0.38,0,2,2,0.0,0
1en0bgq0u842snszevlkscxk9,2022-2023,Bundesliga,0.37,0.37,-0.37,0,4,4,0.22,4
egmcpa7j5clzga5m0zvg2f105,2022-2023,Bundesliga,0.37,0.37,-0.37,0,9,9,0.72,17
bjhgmcai5irlexe7oa1g0e5sl,2022-2023,Bundesliga,0.34,0.34,0.66,1,6,6,0.75,6
58ixsja4yf7pskmshzo7ohwfe,2022-2023,Bundesliga,0.34,0.34,0.66,1,5,5,0.09,2
80nniieqtuwjhomwjcebnxyzu,2022-2023,Bundesliga,0.33,0.33,-0.33,0,8,8,0.62,3
bpprd2haoafk6y0rjans4iytx,2022-2023,Bundesliga,0.33,0.33,0.67,1,7,7,0.69,3
aaoycxwi9jny6flm4apz8a2uh,2022-2023,Bundesliga,0.32,0.32,-0.32,0,6,6,0.9,10
fr9ac60188vlmtbrcddhxii1,2022-2023,Bundesliga,0.32,0.32,0.68,1,4,4,0.1,2
9kxuwgequrilkom3ru6sdxall,2022-2023,Bundesliga,1.11,0.32,0.68,1,7,6,1.02,22
l8bphgwl3llcckvf9zr6ptqt,2022-2023,Bundesliga,0.31,0.31,0.69,1,6,6,0.23,4
en0a6a574x1yvnk8kdxwub949,2022-2023,Bundesliga,0.31,0.31,-0.31,0,2,2,0.32,2
dr0kn3srxtg7nuw99gjoim7e1,2022-2023,Bundesliga,0.3,0.3,-0.3,0,6,6,0.88,8
dnt7ahwfj8endqngxwfll1tjp,2022-2023,Bundesliga,0.3,0.3,0.7,1,7,7,0.55,4
a5kkysp7c5f577ji17q5v2k0l,2022-2023,Bundesliga,0.3,0.3,-0.3,0,7,7,0.3,1
d8h5ge9ust20o7us968acnsnp,2022-2023,Bundesliga,0.29,0.29,0.71,1,6,6,0.48,4
7hnmtyfmurizitwz1whecjnmy,2022-2023,Bundesliga,0.29,0.29,0.71,1,7,7,0.83,5
b8i5atg67th49tfd1xeh6z9hx,2022-2023,Bundesliga,0.29,0.29,-0.29,0,9,9,0.36,8
f0x3pa532agezdjdzcsp94l49,2022-2023,Bundesliga,0.28,0.28,-0.28,0,7,7,0.15,3
b7fqivvacy7mmarlp180k276d,2022-2023,Bundesliga,0.28,0.28,-0.28,0,6,6,0.19,2
2ebiw2w6d76sttjh8n8871kgl,2022-2023,Bundesliga,0.28,0.28,-0.28,0,8,8,3.47,37
ce2pidh4dpd1ccozn2lm3qtw5,2022-2023,Bundesliga,0.28,0.28,-0.28,0,6,6,0.18,4
33hs47yxefec8e9ntgqgr49n9,2022-2023,Bundesliga,0.28,0.28,-0.28,0,5,5,0.57,6
8um4xh0ekvr4q6uti3ksld8q2,2022-2023,Bundesliga,0.27,0.27,-0.27,0,6,6,0.2,4
yxuavigqlnnigve5ki4tfemt,2022-2023,Bundesliga,0.27,0.27,1.73,2,7,7,0.05,1
7e7w34imugzsufvytjxytupd5,2022-2023,Bundesliga,0.26,0.26,0.74,1,4,4,0.2,5
6hgj78mr8wy2i5izf8x10ij11,2022-2023,Bundesliga,0.26,0.26,-0.26,0,6,6,0.14,3
